m_ref,m_da,Q_W,Q_required,Error,water_kg_hr,water_kg_per_kWh,NTU,effectiveness,W_comp,COP,Re,flow_regime
0.1,2.0,645.724801297685,47870.70142789434,47224.976626596654,31.356563989978415,17.178692656984293,0.03916986494009436,0.0384126447057892,1825.3172471322994,0.3537603133439755,1179067.705798973,Turbulent
0.2,2.0,1291.44960259537,47870.70142789434,46579.25182529897,31.356563989978415,8.589346328492146,0.03916986494009436,0.0384126447057892,3650.6344942645987,0.3537603133439755,2358135.411597946,Turbulent
0.3,2.0,1937.1744038930547,47870.70142789434,45933.52702400128,31.356563989978415,5.7262308856614315,0.03916986494009436,0.0384126447057892,5475.951741396898,0.35376031334397545,3537203.117396919,Turbulent
0.4,2.0,2582.89920519074,47870.70142789434,45287.8022227036,31.356563989978415,4.294673164246073,0.03916986494009436,0.0384126447057892,7301.2689885291975,0.3537603133439755,4716270.823195892,Turbulent
0.5,2.0,3228.6240064884246,47870.70142789434,44642.07742140591,31.356563989978415,3.435738531396859,0.03916986494009436,0.0384126447057892,9126.586235661496,0.3537603133439755,5895338.528994865,Turbulent
0.6,2.0,3874.3488077861093,47870.70142789434,43996.35262010823,31.356563989978415,2.8631154428307157,0.03916986494009436,0.0384126447057892,10951.903482793796,0.35376031334397545,7074406.234793838,Turbulent
0.7,2.0,4520.0736090837945,47870.70142789434,43350.62781881054,31.356563989978415,2.4540989509977567,0.03916986494009436,0.0384126447057892,12777.220729926094,0.3537603133439755,8253473.9405928105,Turbulent
0.8,2.0,5165.79841038148,47870.70142789434,42704.90301751286,31.356563989978415,2.1473365821230366,0.03916986494009436,0.0384126447057892,14602.537977058395,0.3537603133439755,9432541.646391785,Turbulent
0.9,2.0,5811.523211679164,47870.70142789434,42059.17821621517,31.356563989978415,1.9087436285538104,0.03916986494009436,0.0384126447057892,16427.855224190695,0.35376031334397545,10611609.352190759,Turbulent
1.0,2.0,6457.248012976849,47870.70142789434,41413.45341491749,31.356563989978415,1.7178692656984296,0.03916986494009436,0.0384126447057892,18253.172471322992,0.3537603133439755,11790677.05798973,Turbulent
1.1,2.0,7102.972814274535,47870.70142789434,40767.7286136198,31.356563989978415,1.5616993324531174,0.03916986494009436,0.0384126447057892,20078.489718455294,0.3537603133439755,12969744.763788704,Turbulent
1.2,2.0,7748.697615572219,47870.70142789434,40122.00381232212,31.356563989978415,1.4315577214153579,0.03916986494009436,0.0384126447057892,21903.80696558759,0.35376031334397545,14148812.469587676,Turbulent
1.3,2.0,8394.422416869904,47870.70142789434,39476.27901102444,31.356563989978415,1.3214378966910996,0.03916986494009436,0.0384126447057892,23729.12421271989,0.3537603133439755,15327880.17538665,Turbulent
1.4,2.0,9040.147218167589,47870.70142789434,38830.554209726746,31.356563989978415,1.2270494754988783,0.03916986494009436,0.0384126447057892,25554.441459852187,0.3537603133439755,16506947.881185621,Turbulent
1.5,2.0,9685.872019465274,47870.70142789434,38184.82940842907,31.356563989978415,1.1452461771322862,0.03916986494009436,0.0384126447057892,27379.75870698449,0.3537603133439755,17686015.586984593,Turbulent
1.6,2.0,10331.59682076296,47870.70142789434,37539.104607131376,31.356563989978415,1.0736682910615183,0.03916986494009436,0.0384126447057892,29205.07595411679,0.3537603133439755,18865083.29278357,Turbulent
1.7,2.0,10977.321622060643,47870.70142789434,36893.3798058337,31.356563989978415,1.010511332763782,0.03916986494009436,0.0384126447057892,31030.393201249088,0.35376031334397545,20044150.998582542,Turbulent
1.8,2.0,11623.046423358328,47870.70142789434,36247.65500453601,31.356563989978415,0.9543718142769052,0.03916986494009436,0.0384126447057892,32855.71044838139,0.35376031334397545,21223218.704381518,Turbulent
1.9,2.0,12268.771224656013,47870.70142789434,35601.93020323833,31.356563989978415,0.9041417187886471,0.03916986494009436,0.0384126447057892,34681.02769551369,0.35376031334397545,22402286.410180487,Turbulent
2.0,2.0,12914.496025953698,47870.70142789434,34956.20540194064,31.356563989978415,0.8589346328492148,0.03916986494009436,0.0384126447057892,36506.344942645985,0.3537603133439755,23581354.11597946,Turbulent
2.1,2.0,13560.220827251385,47870.70142789434,34310.48060064296,31.356563989978415,0.8180329836659187,0.03916986494009436,0.0384126447057892,38331.66218977828,0.35376031334397556,24760421.821778435,Turbulent
2.2,2.0,14205.94562854907,47870.70142789434,33664.755799345265,31.356563989978415,0.7808496662265587,0.03916986494009436,0.0384126447057892,40156.97943691059,0.3537603133439755,25939489.527577408,Turbulent
2.3,2.0,14851.670429846752,47870.70142789434,33019.03099804759,31.356563989978415,0.7468996807384476,0.03916986494009436,0.0384126447057892,41982.29668404288,0.3537603133439755,27118557.23337638,Turbulent
2.4,2.0,15497.395231144437,47870.70142789434,32373.3061967499,31.356563989978415,0.7157788607076789,0.03916986494009436,0.0384126447057892,43807.61393117518,0.35376031334397545,28297624.939175352,Turbulent
2.5,2.0,16143.120032442124,47870.70142789434,31727.581395452216,31.356563989978415,0.6871477062793718,0.03916986494009436,0.0384126447057892,45632.93117830748,0.3537603133439755,29476692.64497433,Turbulent
2.6,2.0,16788.844833739808,47870.70142789434,31081.85659415453,31.356563989978415,0.6607189483455498,0.03916986494009436,0.0384126447057892,47458.24842543978,0.3537603133439755,30655760.3507733,Turbulent
2.7,2.0,17434.569635037493,47870.70142789434,30436.131792856846,31.356563989978415,0.6362478761846034,0.03916986494009436,0.0384126447057892,49283.565672572084,0.35376031334397545,31834828.056572273,Turbulent
